jailID,charge,courtFile,bondOrFine,dispositionDate,dispositionOfCharge
4294N-000,STRANGULATION AND SUFFOCATION,17CF298,$1000.00,,
4294N-000,BATTERY,,$.00,2017/03/27,COMBINED WITH CHARGE 1
4294N-000,DISORDERLY CONDUCT,,$.00,2017/03/27,COMBINED WITH CHARGE 1
4294N-000,CRT STATUS ONLY-NOT A CHARGE,17CV351,$.00,2017/04/10,*NOT A CHARGE*
9151M-002,BAIL JUMPING-FELONY,17CF180,$7500.00,,
9151M-002,CRIMINAL TRESPASS TO DWELLING,,$.00,2017/02/20,NO ISSUE
9151M-002,PETTY THEFT,,$.00,2017/02/20,COMBINED WITH CHARGE 1
9151M-002,POSSESS DRUG PARAPHERNALIA,,$.00,2017/02/20,COMBINED WITH CHARGE 1
9151M-002,POSSESSION OF THC,,$.00,2017/02/20,NO ISSUE
9151M-002,CRT STATUS ONLY-NOT A CHARGE,16CF513,$.00,2017/03/01,*NOT A CHARGE*
2852M-002,1ST-DEGREE RECKLESSLY ENDANGERING SAFETY,16CF1245,$50000.00,,
4208N-000,FAIL/YIELD TO STOP FOR EMERGENCY VEHICLE,,$.00,2017/03/17,NO POST/RELEASED W/COURT
4208N-000,OPERATE w/o VALID LICENSE,,$.00,2017/03/17,NO POST/RELEASED W/COURT
4208N-000,EXCEEDING SPEED ZONES/POSTED LIMITS,,$.00,2017/03/17,NO POST/RELEASED W/COURT
30291-016,P&P HOLD - FELONY,15CF321,$.00,,
2404N-005,P&P HOLD - FELONY,16CF1006,$.00,,
2404N-005,BATTERY,,$.00,2017/04/20,PROSECUTION DENIED
2404N-005,DISORDERLY CONDUCT,,$.00,2017/04/20,PROSECUTION DENIED
4318C-009,THEFT-MOVABLE PROPERTY,15CF819,$.00,,
4524N-000,OPERATING WHILE INTOXICATED,16CT412,$.00,,
1724N-001,THEFT-FALSE REPRESENTATION,16CF675,$.00,,
82051-006,THEFT-MOVABLE PROPERTY,13CM1596,$.00,,
82051-006,CRT STATUS ONLY-NOT A CHARGE,16GM112,$.00,2016/10/04,*NOT A CHARGE*
82051-006,BAIL JUMPING-MISDEMEANOR,14CM892,$.00,,
82051-006,BAIL JUMPING-MISDEMEANOR,14CM851,$.00,,
82051-006,POSSESSION OF THC,16CM377,$.00,2017/01/06,TIME SERVED
82051-006,CRT STATUS ONLY-NOT A CHARGE,,$.00,2017/04/19,*NOT A CHARGE*
1278F-029,REVOCATION ORD & WARR,15CM546,$.00,,
1278F-029,THEET-MOVABLE PROPERTY,15CM546,$.00,2017/04/21,TIME SERVED
1364N-001,FORGERY-UTTERING,16CF184,$.00,,
3976H-004,P&P HOLD - FELONY,14CF52,$.00,2016/08/15,P.O.HOLD CANCELLED
3976H-004,CRT STATUS ONLY-NOT A CHARGE,,$.00,2016/07/07,*NOT A CHARGE*
